Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?
,Male,21,18-24,DK/REF,DK/REF,Some college,,White,,In a relationship,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Strongly Agree,0,,No,70,,Too Low,FALSE,Dumb and happy,Acceptable
,Male,46,45-54,Independent,Somewhat disapprove,High school,,Latino,,Other,Engaged,,Unlikely,Real and Caused by People,4,,Strongly Agree,Somewhat Disagree,,Yes,Yes,,Yes,DK/REF,TRUE,Dumb and happy,Unacceptable
,Other,92,65+,Independent,Somewhat disapprove,High school,,Asian,,Divorced,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,0,,Yes,95,,Too Low,TRUE,Dumb and happy,Acceptable
,Male,71,65+,Republican,Somewhat Approve,College degree,,White,,Widowed,,,Unlikely,Real and Caused by People,,Yes,Strongly Disagree,Somewhat Agree,2,,Yes,5,,Too High,FALSE,DK/REF,Unacceptable
,Female,36,35-44,DK/REF,Somewhat Approve,High school,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,200,,Yes,45,,Too Low,TRUE,Smart and Sad,Unacceptable
,Female,30,25-34,Democrat,Strongly disapprove,High school,,White,,Single,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,15,,Yes,,Yes,Too Low,TRUE,Smart and Sad,Unacceptable
,Male,36,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Somewhat Disagree,Strongly Agree,6,,No,2,,About Right,FALSE,Dumb and happy,Acceptable
,Male,48,45-54,DK/REF,Strongly disapprove,College degree,,DK/REF,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Disagree,90,,No,,Yes,Too High,FALSE,Smart and Sad,Unacceptable
,Male,43,35-44,Independent,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,5,,Somewhat Disagree,Somewhat Agree,0,,Yes,3,,Too Low,TRUE,Dumb and happy,Acceptable
,Male,27,25-34,Republican,Strongly Approve,High school,,White,,Married,,,Unlikely,Real and Caused by People,4,,Strongly Disagree,Somewhat Disagree,4,,Yes,20,,Too High,TRUE,Dumb and happy,Acceptable
,Female,36,35-44,Democrat,Strongly disapprove,Graduate degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,40,,Yes,5,,Too Low,FALSE,Smart and Sad,Acceptable
390000,Male,48,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,5,,Yes,3,,Too Low,FALSE,Smart and Sad,Unacceptable
170000,Male,46,45-54,Democrat,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,6,,No,0,,Too Low,FALSE,Dumb and happy,Acceptable
92000,Male,99,65+,Republican,Somewhat Approve,College degree,,DK/REF,,Married,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Strongly Agree,15,,No,10,,About Right,TRUE,Dumb and happy,DK/REF
223000,Female,84,65+,Independent,DK/REF,Graduate degree,,Black,,Married,,,DK/REF,DK/REF,0,,Somewhat Agree,Strongly Agree,10,,No,,Yes,About Right,TRUE,Smart and Sad,DK/REF
102000,Male,37,35-44,Independent,Neither approve nor disapprove,High school,,Other,Native American,Married,,,Likely,Real and Caused by People,3,,Somewhat Disagree,Strongly Disagree,0,,Yes,,Yes,DK/REF,TRUE,Dumb and happy,Unacceptable
68000,Male,44,35-44,Republican,Strongly Approve,Some college,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,10,,No,,Yes,DK/REF,TRUE,Dumb and happy,Unacceptable
160000,Male,65,65+,Democrat,Strongly disapprove,College degree,,White,,Married,,Yes,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,0,,No,,Yes,About Right,DK/REF,DK/REF,Unacceptable
70000,Female,38,35-44,Independent,Strongly disapprove,High school,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,30,,No,5,,Too Low,FALSE,Dumb and happy,Unacceptable
56000,Male,68,65+,Independent,Strongly disapprove,College degree,,DK/REF,,In a relationship,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,15,,DK/REF,10,,Too Low,FALSE,DK/REF,DK/REF
38000,Male,51,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Somewhat Agree,8,,No,0,,Too Low,TRUE,Dumb and happy,Unacceptable
64000,Male,54,45-54,Democrat,Strongly Approve,Some college,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Agree,0,,No,5,,Too High,FALSE,Dumb and happy,Acceptable
124000,Female,37,35-44,Republican,Strongly Approve,Graduate degree,,White,,In a relationship,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Strongly Agree,16,,Yes,33,,About Right,FALSE,Smart and Sad,Unacceptable
7000,Female,66,65+,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,50,,Yes,25,,Too Low,FALSE,Dumb and happy,Acceptable
43000,Female,65,65+,Independent,Strongly Approve,Some college,,Black,,Widowed,,,Likely,Real and Caused by People,0,,Somewhat Disagree,Somewhat Agree,100,,No,50,,About Right,FALSE,Dumb and happy,Acceptable
12000,Other,72,65+,Republican,DK/REF,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,Strongly Agree,52,,Yes,10,,Too Low,TRUE,Dumb and happy,Acceptable
34000,Male,65,65+,Democrat,Somewhat disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,DK/REF,10,,Yes,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
87000,Male,22,18-24,DK/REF,Strongly disapprove,Some college,,White,,Divorced,,,Likely,Real and Caused by People,5,,Neither Agree nor Disagree,Neither Agree nor Disagree,0,,Yes,,Yes,DK/REF,DK/REF,Dumb and happy,DK/REF
58000,Male,51,45-54,Republican,Strongly Approve,High school,,White,,Single,,,Likely,Not Real At All,0,,Somewhat Agree,Somewhat Agree,0,,No,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
260000,Female,43,35-44,Independent,DK/REF,Some college,,White,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Disagree,Strongly Agree,18,,Yes,0,,DK/REF,TRUE,Dumb and happy,Unacceptable
139000,Male,32,25-34,Democrat,Somewhat Approve,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Somewhat Agree,2,,No,1,,About Right,TRUE,Dumb and happy,Acceptable
211000,Female,65,65+,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,12,,Yes,2,,DK/REF,TRUE,DK/REF,Unacceptable
73000,Female,71,65+,DK/REF,DK/REF,Some college,,Asian,,Widowed,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Strongly Agree,1,,No,50,,About Right,FALSE,Dumb and happy,Unacceptable
72000,Male,65,65+,Independent,Strongly Approve,High school,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Strongly Agree,Strongly Agree,6,,DK/REF,,Yes,About Right,FALSE,Smart and Sad,Unacceptable
9000,Female,40,35-44,Democrat,Strongly disapprove,Graduate degree,,Black,,Married,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Strongly Disagree,20,,No,50,,Too High,TRUE,Dumb and happy,Unacceptable
56000,Male,79,65+,Democrat,DK/REF,Some college,,Black,,Married,,,Likely,Real and Caused by People,,Yes,Somewhat Agree,Somewhat Agree,20,,No,,Yes,Too Low,DK/REF,Smart and Sad,Unacceptable
30000,Female,68,65+,Republican,Strongly Approve,High school,,White,,Married,,,Likely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,3,,No,10,,About Right,TRUE,Dumb and happy,Unacceptable
101000,Female,51,45-54,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Somewhat Agree,12,,Yes,5,,Too Low,FALSE,DK/REF,DK/REF
32000,Male,39,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Strongly Disagree,Strongly Disagree,12,,Yes,,Yes,Too High,FALSE,DK/REF,DK/REF
168000,Female,51,45-54,Independent,Neither approve nor disapprove,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Strongly Agree,Somewhat Agree,24,,No,5,,About Right,FALSE,Dumb and happy,Unacceptable
75000,Male,83,65+,Democrat,DK/REF,Some college,,White,,Divorced,,,DK/REF,DK/REF,0,,Neither Agree nor Disagree,DK/REF,0,,DK/REF,,Yes,Too Low,TRUE,DK/REF,Unacceptable
27000,Male,52,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Strongly Agree,1,,No,,Yes,DK/REF,TRUE,Dumb and happy,Acceptable
32000,Male,53,45-54,DK/REF,Somewhat Approve,Some college,,White,,Single,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,2,,No,,Yes,About Right,TRUE,Dumb and happy,Acceptable
93000,Female,66,65+,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Likely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,20,,No,10,,Too Low,TRUE,Smart and Sad,Unacceptable
29000,Female,37,35-44,Independent,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Strongly Agree,2,,Yes,15,,DK/REF,FALSE,Dumb and happy,Acceptable
131000,Male,53,45-54,DK/REF,Strongly disapprove,High school,,White,,Married,,,DK/REF,DK/REF,0,,DK/REF,DK/REF,0,,No,,Yes,DK/REF,TRUE,Dumb and happy,Acceptable
168000,Female,65,65+,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,,Yes,Yes,3,,Too Low,TRUE,Dumb and happy,Acceptable
62000,Female,18,18-24,Democrat,Strongly disapprove,High school,,Black,,Single,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Somewhat Agree,50,,No,20,,Too Low,TRUE,Smart and Sad,Acceptable
10000,Male,43,35-44,Independent,Somewhat disapprove,College degree,,White,,Divorced,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Disagree,50,,No,,Yes,Too High,TRUE,Dumb and happy,DK/REF
24000,Female,65,65+,Independent,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,20,,No,,Yes,About Right,FALSE,DK/REF,Unacceptable
15000,Female,86,65+,Independent,Strongly Approve,High school,,White,,Widowed,,,Likely,Real but not Caused by People,0,,DK/REF,Somewhat Agree,,Yes,No,,Yes,DK/REF,DK/REF,Dumb and happy,Acceptable
107000,Male,76,65+,Democrat,Strongly Approve,Graduate degree,,White,,Married,,,Likely,DK/REF,0,,Somewhat Agree,Strongly Agree,25,,No,1,,Too Low,DK/REF,Dumb and happy,DK/REF
204000,Female,35,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,45,,No,10,,Too Low,TRUE,Smart and Sad,Unacceptable
75000,Male,40,35-44,Independent,DK/REF,College degree,,White,,Married,,,Unlikely,DK/REF,0,,Somewhat Agree,Somewhat Agree,20,,Yes,5,,Too Low,FALSE,Smart and Sad,Acceptable
12000,Female,48,45-54,Democrat,Strongly disapprove,Graduate degree,,Black,,Divorced,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Agree,15,,No,6,,DK/REF,TRUE,Smart and Sad,Unacceptable
144000,Male,36,35-44,Independent,Strongly disapprove,College degree,,White,,Single,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,7,,No,4,,Too Low,TRUE,Smart and Sad,Unacceptable
79000,Female,48,45-54,Democrat,Strongly disapprove,College degree,,Black,,Single,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Disagree,3,,No,1,,Too Low,FALSE,Smart and Sad,Unacceptable
28000,Female,68,65+,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,50,,No,4,,Too Low,FALSE,Smart and Sad,DK/REF
129000,Female,51,45-54,Republican,DK/REF,Some college,,White,,Married,,,DK/REF,Real but not Caused by People,,Yes,Strongly Disagree,Somewhat Agree,3,,Yes,30,,Too High,DK/REF,Dumb and happy,Unacceptable
25000,Male,53,45-54,Independent,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Somewhat Disagree,10,,No,1,,About Right,TRUE,Smart and Sad,Acceptable
5000,Female,43,35-44,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Agree,2,,No,,Yes,DK/REF,TRUE,Smart and Sad,Acceptable
10000,Female,76,65+,Independent,DK/REF,DK/REF,,Latino,,Widowed,,Yes,Likely,Real and Caused by People,0,,DK/REF,DK/REF,0,,Yes,,Yes,DK/REF,TRUE,DK/REF,DK/REF
,Male,44,35-44,Independent,Strongly disapprove,College degree,,White,,Divorced,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,No,5,,Too Low,FALSE,Dumb and happy,Unacceptable
,Female,75,65+,Republican,Somewhat Approve,Some college,,White,,Married,,,DK/REF,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,4,,No,,Yes,About Right,DK/REF,DK/REF,Unacceptable
,Female,35,35-44,Democrat,Strongly disapprove,Some college,,Black,,In a relationship,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Disagree,20,,No,30,,Too Low,TRUE,Smart and Sad,Unacceptable
,Female,43,35-44,Independent,DK/REF,Some college,,DK/REF,,Married,,,Likely,Real but not Caused by People,4,,Somewhat Disagree,Somewhat Agree,3,,No,20,,About Right,TRUE,Smart and Sad,Unacceptable
,Male,30,25-34,DK/REF,Somewhat Approve,Some college,,Latino,,Married,,,Unlikely,Real but not Caused by People,3,,Somewhat Disagree,Strongly Agree,7,,No,1,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,21,18-24,Democrat,Somewhat Approve,High school,,Black,,Divorced,,,DK/REF,Not Real At All,0,,Somewhat Agree,Somewhat Agree,0,,No,0,,About Right,TRUE,Dumb and happy,Unacceptable
,Male,34,25-34,Independent,DK/REF,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Strongly Agree,5,,No,20,,About Right,FALSE,Dumb and happy,Acceptable
,Male,43,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,3,,No,2,,Too Low,FALSE,Smart and Sad,Unacceptable
,Female,45,45-54,Democrat,Strongly disapprove,High school,,Latino,,Single,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Strongly Agree,0,,No,,Yes,Too High,TRUE,Smart and Sad,Acceptable
,Male,20,18-24,Democrat,Strongly disapprove,Some college,,Latino,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Disagree,DK/REF,3,,No,,Yes,About Right,FALSE,Smart and Sad,Unacceptable
,Female,47,45-54,DK/REF,DK/REF,Graduate degree,,White,,Divorced,,,Unlikely,Real and Caused by People,1,,DK/REF,Somewhat Disagree,6,,Yes,,Yes,Too Low,DK/REF,Dumb and happy,Unacceptable
,Male,28,25-34,DK/REF,Strongly disapprove,Some college,,Latino,,In a relationship,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Disagree,5,,No,20,,About Right,FALSE,Smart and Sad,Unacceptable
,Female,22,18-24,Democrat,Strongly disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,40,,No,5,,Too Low,TRUE,Smart and Sad,Acceptable
,Female,42,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Somewhat Agree,10,,No,,Yes,About Right,FALSE,Smart and Sad,Unacceptable
,Male,37,35-44,DK/REF,DK/REF,Graduate degree,,Asian,,Married,,,Unlikely,DK/REF,0,,Somewhat Agree,Strongly Agree,5,,No,,Yes,DK/REF,TRUE,Smart and Sad,DK/REF
,Female,50,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,20,,No,15,,Too Low,DK/REF,Smart and Sad,Acceptable
,Female,33,25-34,Democrat,Strongly disapprove,College degree,,Black,,In a relationship,,,Likely,Real and Caused by People,3,,Somewhat Disagree,Strongly Disagree,15,,Yes,75,,About Right,FALSE,Smart and Sad,Unacceptable
,Male,47,45-54,Democrat,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,80,,No,1,,Too Low,FALSE,Smart and Sad,Acceptable
,Male,46,45-54,Democrat,Strongly disapprove,Some college,,Black,,In a relationship,,,Likely,Real and Caused by People,2,,DK/REF,Strongly Agree,0,,Yes,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
,Male,27,25-34,Republican,Strongly Approve,College degree,,White,,Single,,,Likely,Real and Caused by People,4,,Somewhat Agree,DK/REF,150,,Yes,60,,Too Low,TRUE,Dumb and happy,Acceptable
,Male,21,18-24,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Likely,Real and Caused by People,0,,Strongly Disagree,DK/REF,0,,Yes,,Yes,DK/REF,TRUE,Smart and Sad,Unacceptable
,Female,75,65+,Republican,Strongly Approve,College degree,,White,,Married,,Yes,Unlikely,Real and Caused by People,0,,Strongly Agree,Neither Agree nor Disagree,7,,Yes,10,,Too Low,TRUE,Smart and Sad,DK/REF
,Male,24,18-24,Independent,Somewhat disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Strongly Agree,15,,Yes,5,,Too Low,TRUE,Dumb and happy,Unacceptable
,Female,24,18-24,Republican,Somewhat Approve,Some college,,Latino,,Single,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Strongly Agree,10,,No,,Yes,Too Low,TRUE,Smart and Sad,Acceptable
42000,Male,30,25-34,Independent,DK/REF,DK/REF,,Latino,,Divorced,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,10,,No,,Yes,Too Low,TRUE,Dumb and happy,Unacceptable
63000,Male,23,18-24,DK/REF,DK/REF,High school,,White,,Single,,,Likely,Real and Caused by People,1,,DK/REF,DK/REF,200,,No,16,,About Right,TRUE,Smart and Sad,Unacceptable
32000,Male,51,45-54,Democrat,Somewhat disapprove,High school,,Latino,,Married,,,Unlikely,Real and Caused by People,5,,Somewhat Agree,Strongly Agree,1,,Yes,10,,Too Low,TRUE,Smart and Sad,Acceptable
58000,Female,53,45-54,Independent,DK/REF,High school,,White,,In a relationship,,,Unlikely,Real but not Caused by People,0,,Strongly Disagree,Strongly Agree,0,,Yes,4,,Too High,TRUE,Dumb and happy,Acceptable
135000,Female,51,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,3,,Yes,2,,Too Low,FALSE,Smart and Sad,Unacceptable
81000,Female,66,65+,Independent,Neither approve nor disapprove,High school,,White,,Divorced,,,Likely,DK/REF,0,,Somewhat Disagree,Strongly Agree,100,,No,20,,Too High,FALSE,Dumb and happy,Unacceptable
46000,Male,50,45-54,Democrat,Strongly disapprove,Graduate degree,,DK/REF,,Married,,,Unlikely,Real but not Caused by People,0,,DK/REF,Somewhat Agree,5,,No,,Yes,DK/REF,TRUE,DK/REF,DK/REF
76000,Female,24,18-24,DK/REF,Strongly disapprove,Graduate degree,,Latino,,Single,,,Unlikely,DK/REF,2,,DK/REF,DK/REF,,Yes,No,,Yes,DK/REF,FALSE,Smart and Sad,Unacceptable
95000,Female,47,45-54,Republican,Neither approve nor disapprove,Graduate degree,,White,,Married,,,Unlikely,DK/REF,0,,Neither Agree nor Disagree,Strongly Agree,100,,No,3,,DK/REF,TRUE,Dumb and happy,Unacceptable
23000,Female,50,45-54,DK/REF,Strongly Approve,Graduate degree,,Black,,Married,,,Likely,Not Real At All,5,,Somewhat Agree,Somewhat Agree,50,,No,5,,Too Low,TRUE,DK/REF,Acceptable
38000,Male,41,35-44,Republican,Neither approve nor disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,5,,No,5,,About Right,TRUE,Dumb and happy,Unacceptable
68000,Other,86,65+,Republican,Strongly Approve,Graduate degree,,Latino,,Married,,,Unlikely,DK/REF,0,,Somewhat Agree,Strongly Agree,25,,No,40,,About Right,TRUE,Dumb and happy,Unacceptable
177000,Female,54,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,DK/REF,3,,Somewhat Agree,Strongly Agree,6,,No,8,,About Right,FALSE,Dumb and happy,Unacceptable
79000,Male,69,65+,Democrat,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,4,,Yes,,Yes,Too High,TRUE,Dumb and happy,Unacceptable
46000,Female,47,45-54,DK/REF,DK/REF,High school,,Latino,,Married,,,Unlikely,Real and Caused by People,0,,DK/REF,Strongly Agree,5,,Yes,,Yes,DK/REF,DK/REF,Dumb and happy,DK/REF
106000,Male,37,35-44,DK/REF,Strongly Approve,Some college,,DK/REF,,Married,,,Unlikely,Real but not Caused by People,4,,Neither Agree nor Disagree,Strongly Agree,1,,Yes,,Yes,DK/REF,TRUE,Smart and Sad,Acceptable
73000,Female,38,35-44,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,15,,No,40,,Too Low,FALSE,Smart and Sad,Acceptable
